event_date,year,district,event_type,actor1,actor2,fatalities,latitude,longitude,month,year_month,season,event_count,rolling_event_count_30d
2015-10-09,2015,Bishnupur,Violence against civilians,Rebel Group A,Unidentified Armed Group,2,24.714994062812963,93.91431872848288,10,2015-10,Post-Monsoon,1,2.0
2015-12-22,2015,Bishnupur,Protests,Rebel Group B,,0,25.19643085803249,93.8404491802869,12,2015-12,Winter,1,1.0
2016-01-20,2016,Bishnupur,Protests,Protesters,Rebel Group A,0,24.760245899452325,93.88994182997084,1,2016-01,Winter,1,2.0
2016-01-24,2016,Bishnupur,Strategic developments,State Forces,Protesters,0,24.879279478385715,93.62391158191916,1,2016-01,Winter,1,2.0
2016-02-10,2016,Bishnupur,Riots,Unidentified Armed Group,Rebel Group A,0,24.85684526002488,93.69723814563238,2,2016-02,Winter,1,3.0
2016-03-16,2016,Bishnupur,Strategic developments,Rebel Group B,,0,24.71858043874165,94.15231079236824,3,2016-03,Pre-Monsoon,1,1.0
2016-05-15,2016,Bishnupur,Battles,Rebel Group A,Civilians,2,24.86968831380468,93.46788841577975,5,2016-05,Pre-Monsoon,1,1.0
2016-06-06,2016,Bishnupur,Protests,State Forces,Protesters,0,24.680043471469567,94.01897180014456,6,2016-06,Monsoon,1,2.0
2016-06-20,2016,Bishnupur,Riots,Protesters,Protesters,0,24.8396534724268,94.13960014028106,6,2016-06,Monsoon,1,2.0
2016-07-11,2016,Bishnupur,Protests,Rebel Group B,Protesters,0,24.95563104227898,93.3675869052534,7,2016-07,Monsoon,1,2.0
2016-08-15,2016,Bishnupur,Strategic developments,Unidentified Armed Group,State Forces,0,25.21601697946361,93.67057537469096,8,2016-08,Monsoon,1,1.0
2016-09-04,2016,Bishnupur,Strategic developments,Rebel Group B,Protesters,0,24.60995910042472,93.86596269500735,9,2016-09,Monsoon,1,2.0
2016-09-14,2016,Bishnupur,Riots,State Forces,,0,24.80061619778257,93.86483032487595,9,2016-09,Monsoon,1,2.0
2016-09-22,2016,Bishnupur,Strategic developments,Rebel Group B,Rebel Group B,0,24.767343458294956,93.85515102358694,9,2016-09,Monsoon,1,3.0
2016-09-25,2016,Bishnupur,Explosions/Remote violence,Unidentified Armed Group,,4,25.076404980848952,94.14713936021388,9,2016-09,Monsoon,1,4.0
2016-09-25,2016,Bishnupur,Explosions/Remote violence,Unidentified Armed Group,,4,25.076404980848952,94.14713936021388,9,2016-09,Monsoon,1,5.0
2016-09-25,2016,Bishnupur,Explosions/Remote violence,State Forces,,0,24.59686292044875,93.93729990498244,9,2016-09,Monsoon,1,4.0
2016-09-25,2016,Bishnupur,Explosions/Remote violence,State Forces,,0,24.59686292044875,93.93729990498244,9,2016-09,Monsoon,1,5.0
2016-10-03,2016,Bishnupur,Riots,Rebel Group B,Rebel Group A,1,24.550804190441163,93.77071840163102,10,2016-10,Post-Monsoon,1,6.0
2016-10-21,2016,Bishnupur,Strategic developments,Unidentified Armed Group,Protesters,0,24.74504971392132,94.09386214090873,10,2016-10,Post-Monsoon,1,5.0
2016-11-17,2016,Bishnupur,Riots,State Forces,Civilians,2,24.70624778530181,94.31772946140732,11,2016-11,Post-Monsoon,1,2.0
2016-12-22,2016,Bishnupur,Protests,Rebel Group B,,0,24.60721928958863,93.94326102785163,12,2016-12,Winter,1,1.0
2017-01-31,2017,Bishnupur,Protests,Rebel Group A,Protesters,0,25.21429883033845,93.58427927574228,1,2017-01,Winter,1,1.0
2017-06-30,2017,Bishnupur,Riots,Civilians,Unidentified Armed Group,0,24.7256670787482,94.2398047151664,6,2017-06,Monsoon,1,1.0
2017-08-01,2017,Bishnupur,Battles,Rebel Group A,Rebel Group B,0,24.409732916063376,94.44499539013329,8,2017-08,Monsoon,1,1.0
2017-08-05,2017,Bishnupur,Protests,Civilians,Civilians,0,25.04118416672436,93.75767700148263,8,2017-08,Monsoon,1,2.0
2017-08-22,2017,Bishnupur,Protests,State Forces,Unidentified Armed Group,0,25.051152527765204,93.90897233375142,8,2017-08,Monsoon,1,3.0
2017-09-17,2017,Bishnupur,Violence against civilians,Rebel Group B,State Forces,1,24.06086845881428,93.9418122154214,9,2017-09,Monsoon,1,2.0
2017-11-15,2017,Bishnupur,Protests,Rebel Group B,,0,24.48693268609574,93.71116856177105,11,2017-11,Post-Monsoon,1,1.0
2018-01-04,2018,Bishnupur,Protests,Protesters,,0,24.8517582276526,93.8602579146217,1,2018-01,Winter,1,1.0
2018-02-10,2018,Bishnupur,Protests,Rebel Group B,,0,24.63719665583005,93.38881415195486,2,2018-02,Winter,1,1.0
2018-05-06,2018,Bishnupur,Riots,Rebel Group A,Rebel Group A,0,25.266882756394143,93.65392418535028,5,2018-05,Pre-Monsoon,1,1.0
2018-05-22,2018,Bishnupur,Riots,State Forces,Civilians,1,25.18098099429607,93.89937309248327,5,2018-05,Pre-Monsoon,1,2.0
2018-06-07,2018,Bishnupur,Protests,Unidentified Armed Group,Civilians,0,24.603606847358545,93.92682657798356,6,2018-06,Monsoon,1,2.0
2018-09-30,2018,Bishnupur,Explosions/Remote violence,Unidentified Armed Group,Protesters,3,24.85905400930048,94.09512437281744,9,2018-09,Monsoon,1,1.0
2018-10-10,2018,Bishnupur,Explosions/Remote violence,Civilians,Protesters,2,25.201417764694853,93.9762933700758,10,2018-10,Post-Monsoon,1,2.0
2018-11-16,2018,Bishnupur,Violence against civilians,Rebel Group B,,1,24.89775360981781,93.80022702372057,11,2018-11,Post-Monsoon,1,1.0
2018-11-23,2018,Bishnupur,Protests,State Forces,Protesters,0,25.38273655494566,93.72218192862826,11,2018-11,Post-Monsoon,1,2.0
2018-11-24,2018,Bishnupur,Protests,Unidentified Armed Group,Civilians,0,25.57183163116185,93.85467849607888,11,2018-11,Post-Monsoon,1,3.0
2018-12-12,2018,Bishnupur,Strategic developments,Civilians,,0,24.81207000723977,93.85666120680725,12,2018-12,Winter,1,4.0
2019-01-20,2019,Bishnupur,Battles,Rebel Group B,Rebel Group A,2,24.33111303301977,93.55451616047613,1,2019-01,Winter,1,1.0
2019-02-04,2019,Bishnupur,Protests,Rebel Group B,Civilians,0,25.5310844110686,93.97096664655946,2,2019-02,Winter,1,2.0
2019-03-18,2019,Bishnupur,Explosions/Remote violence,Civilians,,1,25.37134930866029,93.9056797291396,3,2019-03,Pre-Monsoon,1,1.0
2019-03-30,2019,Bishnupur,Riots,Civilians,Rebel Group A,1,24.7078260003763,94.13938916281325,3,2019-03,Pre-Monsoon,1,2.0
2019-03-30,2019,Bishnupur,Riots,Civilians,Rebel Group A,1,24.7078260003763,94.13938916281325,3,2019-03,Pre-Monsoon,1,3.0
2019-03-30,2019,Bishnupur,Protests,State Forces,Civilians,0,24.54518926164932,94.22925508540884,3,2019-03,Pre-Monsoon,1,2.0
2019-03-30,2019,Bishnupur,Protests,State Forces,Civilians,0,24.54518926164932,94.22925508540884,3,2019-03,Pre-Monsoon,1,3.0
2019-07-07,2019,Bishnupur,Battles,Protesters,Unidentified Armed Group,0,24.82574046712602,93.68352359457704,7,2019-07,Monsoon,1,1.0
2019-07-18,2019,Bishnupur,Riots,Rebel Group A,State Forces,0,25.0057256227042,93.8420108145942,7,2019-07,Monsoon,1,2.0
2019-07-24,2019,Bishnupur,Protests,Unidentified Armed Group,Protesters,0,25.03389710743328,94.13278585594828,7,2019-07,Monsoon,1,3.0
2019-08-24,2019,Bishnupur,Riots,Protesters,State Forces,0,24.73633339283355,93.6048422273775,8,2019-08,Monsoon,1,1.0
2019-10-16,2019,Bishnupur,Battles,Unidentified Armed Group,Civilians,0,24.87805684162652,93.64221182483315,10,2019-10,Post-Monsoon,1,1.0
2019-12-16,2019,Bishnupur,Riots,Civilians,Unidentified Armed Group,0,24.60909347874147,93.8330565941502,12,2019-12,Winter,1,1.0
2020-01-14,2020,Bishnupur,Protests,Rebel Group A,Protesters,0,24.545844926186906,94.07876992246771,1,2020-01,Winter,1,2.0
2020-01-18,2020,Bishnupur,Violence against civilians,Unidentified Armed Group,Civilians,1,24.37394549813283,93.56475006293076,1,2020-01,Winter,1,2.0
2020-03-15,2020,Bishnupur,Protests,Civilians,Civilians,0,24.464500705212,93.9052540258114,3,2020-03,Pre-Monsoon,1,1.0
2020-03-24,2020,Bishnupur,Protests,State Forces,Unidentified Armed Group,0,25.195113555442013,93.70840179546168,3,2020-03,Pre-Monsoon,1,2.0
2020-05-06,2020,Bishnupur,Battles,State Forces,Rebel Group A,5,24.80229424885551,94.10214793232694,5,2020-05,Pre-Monsoon,1,1.0
2020-05-13,2020,Bishnupur,Protests,Rebel Group A,,0,24.49283645107347,94.40543448275338,5,2020-05,Pre-Monsoon,1,2.0
2020-05-26,2020,Bishnupur,Violence against civilians,Civilians,Protesters,0,24.67292251374275,93.57128581917776,5,2020-05,Pre-Monsoon,1,3.0
2020-08-02,2020,Bishnupur,Protests,Rebel Group B,,0,24.779801065633496,94.63937444596378,8,2020-08,Monsoon,1,1.0
2020-09-18,2020,Bishnupur,Riots,Protesters,Civilians,2,24.915595783722345,93.49461442249444,9,2020-09,Monsoon,1,1.0
2020-09-25,2020,Bishnupur,Riots,Civilians,State Forces,0,25.300666188476622,94.20585179475968,9,2020-09,Monsoon,1,2.0
2020-10-07,2020,Bishnupur,Battles,State Forces,,5,24.17088082786256,94.29391114402137,10,2020-10,Post-Monsoon,1,3.0
2020-11-02,2020,Bishnupur,Battles,State Forces,Rebel Group A,0,24.428192913924583,94.08892437762788,11,2020-11,Post-Monsoon,1,2.0
2021-01-31,2021,Bishnupur,Protests,State Forces,Rebel Group A,0,24.677784812121004,93.79569568762714,1,2021-01,Winter,1,1.0
2021-02-10,2021,Bishnupur,Riots,State Forces,,1,24.75728123387204,93.9922481100865,2,2021-02,Winter,1,2.0
2021-02-14,2021,Bishnupur,Violence against civilians,Civilians,Protesters,0,25.058268309861475,93.4934866042048,2,2021-02,Winter,1,3.0
2021-03-04,2021,Bishnupur,Violence against civilians,Civilians,,0,25.007918550001506,93.62449843451486,3,2021-03,Pre-Monsoon,1,3.0
2021-03-14,2021,Bishnupur,Protests,State Forces,Civilians,0,24.571422930025296,93.61351973376058,3,2021-03,Pre-Monsoon,1,3.0
2021-03-27,2021,Bishnupur,Riots,Civilians,Rebel Group A,0,24.566998278237325,94.1601899139797,3,2021-03,Pre-Monsoon,1,3.0
2021-04-18,2021,Bishnupur,Strategic developments,Unidentified Armed Group,,0,24.462439918266625,94.0463507003145,4,2021-04,Pre-Monsoon,1,2.0
2021-04-25,2021,Bishnupur,Riots,Civilians,Rebel Group A,2,24.65953223030905,93.5936986095383,4,2021-04,Pre-Monsoon,1,3.0
2021-04-27,2021,Bishnupur,Protests,Civilians,,0,25.348346591668136,93.67267704470537,4,2021-04,Pre-Monsoon,1,3.0
2021-06-11,2021,Bishnupur,Protests,Civilians,Civilians,0,24.82825697847796,93.77203155815138,6,2021-06,Monsoon,1,1.0
2021-07-06,2021,Bishnupur,Strategic developments,Rebel Group A,Rebel Group B,0,24.35193376372107,94.21802867101908,7,2021-07,Monsoon,1,2.0
2021-08-27,2021,Bishnupur,Protests,State Forces,,0,24.65028386135519,94.14604432724336,8,2021-08,Monsoon,1,1.0
2021-10-02,2021,Bishnupur,Battles,Unidentified Armed Group,Rebel Group B,3,24.97069751626155,94.07589248886076,10,2021-10,Post-Monsoon,1,1.0
2021-11-12,2021,Bishnupur,Riots,Unidentified Armed Group,Protesters,1,24.933422401985915,94.40432156678186,11,2021-11,Post-Monsoon,1,1.0
2021-11-13,2021,Bishnupur,Protests,Protesters,State Forces,0,24.69600556980349,93.88882479272768,11,2021-11,Post-Monsoon,1,2.0
2021-11-21,2021,Bishnupur,Battles,Protesters,Rebel Group B,1,24.537707669367013,93.79104852940958,11,2021-11,Post-Monsoon,1,3.0
2021-11-22,2021,Bishnupur,Riots,Unidentified Armed Group,State Forces,0,24.484617498725505,94.35444920156642,11,2021-11,Post-Monsoon,1,4.0
2021-12-21,2021,Bishnupur,Violence against civilians,Rebel Group A,Civilians,0,24.92230786927119,94.02750040496984,12,2021-12,Winter,1,2.0
2021-12-22,2021,Bishnupur,Battles,Civilians,Rebel Group B,2,24.742549231417488,93.93243724942909,12,2021-12,Winter,1,2.0
2022-01-02,2022,Bishnupur,Battles,Unidentified Armed Group,Civilians,1,24.59767476864774,94.06784741515771,1,2022-01,Winter,1,3.0
2022-02-10,2022,Bishnupur,Riots,State Forces,Rebel Group A,0,25.210870796175936,93.8891774819692,2,2022-02,Winter,1,1.0
2022-03-06,2022,Bishnupur,Violence against civilians,Civilians,,0,24.657838504512195,93.95130787383955,3,2022-03,Pre-Monsoon,1,2.0
2022-05-25,2022,Bishnupur,Protests,Unidentified Armed Group,,0,24.776085480453688,94.08907344613056,5,2022-05,Pre-Monsoon,1,1.0
2022-07-10,2022,Bishnupur,Battles,Unidentified Armed Group,Rebel Group B,1,24.978092836209964,94.0281587356368,7,2022-07,Monsoon,1,1.0
2022-08-14,2022,Bishnupur,Battles,Rebel Group A,State Forces,1,25.276843939697027,94.23322879507302,8,2022-08,Monsoon,1,1.0
2022-08-14,2022,Bishnupur,Battles,Rebel Group A,State Forces,1,25.276843939697027,94.23322879507302,8,2022-08,Monsoon,1,2.0
2022-08-14,2022,Bishnupur,Protests,Civilians,Civilians,0,24.71689776070782,94.103918171609,8,2022-08,Monsoon,1,1.0
2022-08-14,2022,Bishnupur,Protests,Civilians,Civilians,0,24.71689776070782,94.103918171609,8,2022-08,Monsoon,1,2.0
2022-08-26,2022,Bishnupur,Explosions/Remote violence,Rebel Group B,Rebel Group A,2,24.734951709840782,94.25598303386842,8,2022-08,Monsoon,1,3.0
2022-09-15,2022,Bishnupur,Protests,Protesters,Unidentified Armed Group,0,24.818036788361397,94.4084024242912,9,2022-09,Monsoon,1,2.0
2022-10-13,2022,Bishnupur,Violence against civilians,Rebel Group B,Rebel Group B,2,25.09823233203944,94.3722864780329,10,2022-10,Post-Monsoon,1,2.0
2022-10-16,2022,Bishnupur,Battles,Rebel Group B,,1,24.632987311458045,93.83594377716616,10,2022-10,Post-Monsoon,1,2.0
2022-10-26,2022,Bishnupur,Riots,Unidentified Armed Group,Unidentified Armed Group,0,24.115809744054317,94.2152810744743,10,2022-10,Post-Monsoon,1,3.0
2022-11-02,2022,Bishnupur,Explosions/Remote violence,State Forces,State Forces,2,25.083964952625514,94.50915237393332,11,2022-11,Post-Monsoon,1,4.0
2022-11-05,2022,Bishnupur,Battles,Rebel Group B,Rebel Group A,3,24.805936131596862,94.54048113371024,11,2022-11,Post-Monsoon,1,5.0
2022-11-05,2022,Bishnupur,Battles,Rebel Group B,Rebel Group A,3,24.805936131596862,94.54048113371024,11,2022-11,Post-Monsoon,1,6.0
2022-11-05,2022,Bishnupur,Violence against civilians,State Forces,Unidentified Armed Group,0,24.619965389557336,93.74840081811678,11,2022-11,Post-Monsoon,1,5.0
2022-11-05,2022,Bishnupur,Violence against civilians,State Forces,Unidentified Armed Group,0,24.619965389557336,93.74840081811678,11,2022-11,Post-Monsoon,1,6.0
2022-11-19,2022,Bishnupur,Riots,Protesters,,1,25.016893750272764,94.0755773878562,11,2022-11,Post-Monsoon,1,5.0
2022-11-19,2022,Bishnupur,Riots,Protesters,,1,25.016893750272764,94.0755773878562,11,2022-11,Post-Monsoon,1,6.0
2022-11-19,2022,Bishnupur,Protests,Rebel Group A,State Forces,0,24.79614821500629,94.24681584654162,11,2022-11,Post-Monsoon,1,5.0
2022-11-19,2022,Bishnupur,Protests,Rebel Group A,State Forces,0,24.79614821500629,94.24681584654162,11,2022-11,Post-Monsoon,1,6.0
2023-01-02,2023,Bishnupur,Battles,Rebel Group B,Rebel Group A,4,25.010774176612312,93.4126273436944,1,2023-01,Winter,1,1.0
2023-01-14,2023,Bishnupur,Violence against civilians,Protesters,Civilians,1,25.122172405356785,93.3029334925506,1,2023-01,Winter,1,2.0
2023-02-14,2023,Bishnupur,Battles,Rebel Group A,,1,24.843677599154077,93.89450127064175,2,2023-02,Winter,1,1.0
2023-02-16,2023,Bishnupur,Protests,State Forces,Rebel Group A,0,24.42662421268237,93.9644165411936,2,2023-02,Winter,1,2.0
2023-02-17,2023,Bishnupur,Strategic developments,State Forces,Rebel Group B,0,25.09512924366734,93.67727692320976,2,2023-02,Winter,1,3.0
2023-03-03,2023,Bishnupur,Battles,Civilians,Rebel Group A,2,24.99969533394773,93.72573551695142,3,2023-03,Pre-Monsoon,1,4.0
2023-03-24,2023,Bishnupur,Explosions/Remote violence,State Forces,,1,25.175840115127333,94.01399518740998,3,2023-03,Pre-Monsoon,1,2.0
2023-04-10,2023,Bishnupur,Protests,Unidentified Armed Group,Unidentified Armed Group,0,24.558369044844863,93.7114328194654,4,2023-04,Pre-Monsoon,1,2.0
2023-04-18,2023,Bishnupur,Protests,State Forces,State Forces,0,24.571599324904057,94.26493557905825,4,2023-04,Pre-Monsoon,1,3.0
2023-05-21,2023,Bishnupur,Battles,Protesters,,0,24.48963366436428,93.71417986934836,5,2023-05,Pre-Monsoon,1,1.0
2023-05-24,2023,Bishnupur,Violence against civilians,Civilians,,0,24.75147744686952,94.34961181861946,5,2023-05,Pre-Monsoon,1,2.0
2023-05-25,2023,Bishnupur,Protests,Rebel Group B,,0,25.381781015198285,94.15994620440262,5,2023-05,Pre-Monsoon,1,3.0
2023-06-17,2023,Bishnupur,Battles,State Forces,Civilians,3,24.34972516424148,94.25310906451617,6,2023-06,Monsoon,1,4.0
2023-06-19,2023,Bishnupur,Battles,Protesters,Rebel Group B,3,24.76728308405601,93.68912454709476,6,2023-06,Monsoon,1,5.0
2023-06-20,2023,Bishnupur,Explosions/Remote violence,Rebel Group B,Unidentified Armed Group,2,24.982472061645947,94.24454585999058,6,2023-06,Monsoon,1,5.0
2023-07-06,2023,Bishnupur,Protests,Unidentified Armed Group,,0,24.42851368442312,94.28865905690262,7,2023-07,Monsoon,1,4.0
2023-07-25,2023,Bishnupur,Riots,Rebel Group A,Rebel Group A,1,24.772212816477037,94.1300205628985,7,2023-07,Monsoon,1,2.0
2023-07-28,2023,Bishnupur,Protests,Protesters,Protesters,0,24.81053129807363,93.87902326268828,7,2023-07,Monsoon,1,3.0
2023-09-01,2023,Bishnupur,Battles,Rebel Group A,,2,24.930083259022386,93.83095893240925,9,2023-09,Monsoon,1,1.0
2023-09-25,2023,Bishnupur,Protests,State Forces,Unidentified Armed Group,0,24.640694213893283,93.82092651455044,9,2023-09,Monsoon,1,2.0
2023-10-03,2023,Bishnupur,Strategic developments,Unidentified Armed Group,Rebel Group B,0,24.24923620440881,94.01161510511324,10,2023-10,Post-Monsoon,1,2.0
2023-10-10,2023,Bishnupur,Protests,Unidentified Armed Group,,0,24.931808015105663,93.87461420589446,10,2023-10,Post-Monsoon,1,3.0
2023-11-01,2023,Bishnupur,Strategic developments,Rebel Group B,,0,24.304544479205024,94.18225184010925,11,2023-11,Post-Monsoon,1,3.0
2023-11-11,2023,Bishnupur,Protests,Civilians,State Forces,0,25.142315089378243,93.82081519590116,11,2023-11,Post-Monsoon,1,2.0
2023-11-24,2023,Bishnupur,Explosions/Remote violence,Rebel Group B,Rebel Group A,3,24.655136112575857,93.48716685449946,11,2023-11,Post-Monsoon,1,3.0
2023-12-11,2023,Bishnupur,Protests,Protesters,Rebel Group A,0,25.02714911894745,93.71041868528202,12,2023-12,Winter,1,2.0
2024-02-10,2024,Bishnupur,Protests,Rebel Group A,Civilians,0,24.75322641160343,93.3812471805276,2,2024-02,Winter,1,1.0
2024-04-13,2024,Bishnupur,Battles,Rebel Group A,Rebel Group B,2,24.77612788171388,94.10074618372332,4,2024-04,Pre-Monsoon,1,1.0
2024-04-23,2024,Bishnupur,Riots,Protesters,Rebel Group B,2,25.32895175771513,94.08650604358286,4,2024-04,Pre-Monsoon,1,2.0
2024-05-01,2024,Bishnupur,Battles,Civilians,Civilians,1,24.47646864363529,93.70869090763516,5,2024-05,Pre-Monsoon,1,3.0
2024-05-06,2024,Bishnupur,Strategic developments,Rebel Group B,Civilians,0,25.111028060521036,94.0435668132663,5,2024-05,Pre-Monsoon,1,4.0
2024-05-19,2024,Bishnupur,Protests,State Forces,,0,25.36845510303854,94.16042125920364,5,2024-05,Pre-Monsoon,1,4.0
2024-05-27,2024,Bishnupur,Riots,State Forces,,0,24.87717075916928,94.28139120482862,5,2024-05,Pre-Monsoon,1,4.0
2024-07-27,2024,Bishnupur,Battles,Rebel Group A,Rebel Group B,2,24.889674095179487,93.36046977406012,7,2024-07,Monsoon,1,1.0
2024-07-31,2024,Bishnupur,Strategic developments,Unidentified Armed Group,,0,24.67790551083086,93.8244635255896,7,2024-07,Monsoon,1,2.0
2024-08-21,2024,Bishnupur,Protests,State Forces,Rebel Group B,0,24.80520781371171,93.89645096467947,8,2024-08,Monsoon,1,3.0
2024-10-19,2024,Bishnupur,Protests,Civilians,,0,25.06018203282874,94.06590945885036,10,2024-10,Post-Monsoon,1,1.0
2024-11-03,2024,Bishnupur,Riots,Rebel Group B,Protesters,1,24.78189572339543,93.59071230173288,11,2024-11,Post-Monsoon,1,2.0
2024-11-05,2024,Bishnupur,Riots,Rebel Group B,Unidentified Armed Group,1,24.5573460445672,93.9993065887878,11,2024-11,Post-Monsoon,1,3.0
2025-01-10,2025,Bishnupur,Protests,Protesters,Civilians,0,24.612920955549875,93.61901177497,1,2025-01,Winter,1,1.0
2025-01-15,2025,Bishnupur,Violence against civilians,Civilians,Civilians,0,24.577212523764253,93.91747572539968,1,2025-01,Winter,1,2.0
2025-01-19,2025,Bishnupur,Riots,State Forces,,0,24.422221020280126,94.0730105287627,1,2025-01,Winter,1,3.0
2025-02-04,2025,Bishnupur,Riots,State Forces,Protesters,0,25.15835733279081,94.32598926017766,2,2025-02,Winter,1,4.0
2025-02-12,2025,Bishnupur,Protests,State Forces,,0,24.43097161160418,93.9692002231841,2,2025-02,Winter,1,4.0
2025-03-17,2025,Bishnupur,Protests,Rebel Group B,,0,24.95585277372093,93.81343795682876,3,2025-03,Pre-Monsoon,1,1.0
2025-03-17,2025,Bishnupur,Protests,Rebel Group B,,0,24.95585277372093,93.81343795682876,3,2025-03,Pre-Monsoon,1,2.0
2025-03-17,2025,Bishnupur,Protests,Rebel Group A,,0,24.61511934087161,93.79013472959215,3,2025-03,Pre-Monsoon,1,1.0
2025-03-17,2025,Bishnupur,Protests,Rebel Group A,,0,24.61511934087161,93.79013472959215,3,2025-03,Pre-Monsoon,1,2.0
2025-04-04,2025,Bishnupur,Riots,Rebel Group A,State Forces,2,24.44662226626473,94.29516902935524,4,2025-04,Pre-Monsoon,1,3.0
2025-04-07,2025,Bishnupur,Battles,Rebel Group A,Rebel Group B,5,24.555722733580705,94.18279147697612,4,2025-04,Pre-Monsoon,1,4.0
2025-05-29,2025,Bishnupur,Riots,Rebel Group A,Rebel Group A,0,24.270733607362857,94.02403874216893,5,2025-05,Pre-Monsoon,1,1.0
2025-06-23,2025,Bishnupur,Explosions/Remote violence,Civilians,State Forces,4,24.85069962051616,94.3901423480038,6,2025-06,Monsoon,1,2.0
2025-06-24,2025,Bishnupur,Explosions/Remote violence,State Forces,State Forces,1,24.889300949297738,93.75924419393056,6,2025-06,Monsoon,1,3.0
2025-06-24,2025,Bishnupur,Explosions/Remote violence,State Forces,State Forces,1,24.889300949297738,93.75924419393056,6,2025-06,Monsoon,1,4.0
2025-06-24,2025,Bishnupur,Battles,Protesters,Rebel Group A,1,25.284684259549643,94.1718324261886,6,2025-06,Monsoon,1,3.0
2025-06-24,2025,Bishnupur,Battles,Protesters,Rebel Group A,1,25.284684259549643,94.1718324261886,6,2025-06,Monsoon,1,4.0
2025-06-28,2025,Bishnupur,Battles,Unidentified Armed Group,State Forces,0,24.96996866777565,94.16401781356974,6,2025-06,Monsoon,1,4.0
2025-06-30,2025,Bishnupur,Battles,Rebel Group A,Rebel Group A,2,24.015337784658595,93.61101417992644,6,2025-06,Monsoon,1,5.0
2025-07-01,2025,Bishnupur,Protests,Protesters,,0,24.879750943206627,93.90864956270588,7,2025-07,Monsoon,1,6.0
2025-07-28,2025,Bishnupur,Explosions/Remote violence,Protesters,,3,24.81690589821647,94.3085038976048,7,2025-07,Monsoon,1,3.0
